ano_mes,empresa,setor_rh,headcount
2019-04,CENTRO ELO,Administrativo,4
2019-05,CENTRO ELO,Administrativo,4
2019-06,CENTRO ELO,Administrativo,4
2019-07,CENTRO ELO,Administrativo,4
2019-08,CENTRO ELO,Administrativo,4
2019-09,CENTRO ELO,Administrativo,4
2019-10,CENTRO ELO,Administrativo,4
2019-11,CENTRO ELO,Administrativo,5
2019-12,CENTRO ELO,Administrativo,5
2020-01,CENTRO ELO,Administrativo,5
2020-02,CENTRO ELO,Administrativo,5
2020-03,CENTRO ELO,Administrativo,5
2020-04,CENTRO ELO,Administrativo,5
2020-05,CENTRO ELO,Administrativo,5
2020-06,CENTRO ELO,Administrativo,5
2020-07,CENTRO ELO,Administrativo,5
2020-08,CENTRO ELO,Administrativo,5
2020-09,CENTRO ELO,Administrativo,5
2020-10,CENTRO ELO,Administrativo,5
2020-11,CENTRO ELO,Administrativo,5
2020-12,CENTRO ELO,Administrativo,5
2021-01,CENTRO ELO,Administrativo,5
2021-02,CENTRO ELO,Administrativo,6
2021-03,CENTRO ELO,Administrativo,6
2021-04,CENTRO ELO,Administrativo,6
2021-05,CENTRO ELO,Administrativo,6
2021-06,CENTRO ELO,Administrativo,6
2021-07,CENTRO ELO,Administrativo,6
2021-08,CENTRO ELO,Administrativo,6
2021-09,CENTRO ELO,Administrativo,6
2021-10,CENTRO ELO,Administrativo,6
2021-11,CENTRO ELO,Administrativo,6
2021-12,CENTRO ELO,Administrativo,6
2022-01,CENTRO ELO,Administrativo,6
2022-02,CENTRO ELO,Administrativo,6
2022-03,CENTRO ELO,Administrativo,6
2022-04,CENTRO ELO,Administrativo,6
2022-05,CENTRO ELO,Administrativo,6
2022-06,CENTRO ELO,Administrativo,6
2022-07,CENTRO ELO,Administrativo,5
2022-08,CENTRO ELO,Administrativo,7
2022-09,CENTRO ELO,Administrativo,7
2022-10,CENTRO ELO,Administrativo,6
2022-11,CENTRO ELO,Administrativo,6
2022-12,CENTRO ELO,Administrativo,6
2023-01,CENTRO ELO,Administrativo,5
2023-02,CENTRO ELO,Administrativo,4
2023-03,CENTRO ELO,Administrativo,4
2023-04,CENTRO ELO,Administrativo,4
2023-05,CENTRO ELO,Administrativo,4
2023-06,CENTRO ELO,Administrativo,4
2023-07,CENTRO ELO,Administrativo,4
2023-08,CENTRO ELO,Administrativo,4
2023-09,CENTRO ELO,Administrativo,4
2023-10,CENTRO ELO,Administrativo,4
2023-11,CENTRO ELO,Administrativo,4
2023-12,CENTRO ELO,Administrativo,4
